title,audience_rating,critic_rating
Soldier,6,66
"Son of the South",6.2,60
"Sonic the Hedgehog",6.5,47
"Sonic the Hedgehog 2",6.5,47
"Soriton no akuma",6,66
"Soul Surfer",7,53
"Sound of Freedom",7.6,36
"Spare Parts",7.2,50
Spartacus,7.9,87
Spencer,6.6,76
"Spider-Man: Into the Spider-Verse",8.4,87
"Spirited Away",8.6,96
"Spirited Away",8.6,96
Spotlight,8.1,93
"Stan & Ollie",7.2,75
"Stand and Deliver",7.3,77
"Star 80",6.8,63
"Stephen Curry: Underrated",7.3,69
"Steve Jobs",7.2,82
"Still: A Michael J. Fox Movie",8.1,78
Stockholm,6.1,54
"Straight Outta Compton",7.8,72
"Strelyayushchiye angely",6.1,66
Stronger,6.9,76
"Subject 87",7,66
Sully,7.4,74
"Super/Man: The Christopher Reeve Story",8.2,86
Suspiria,6.7,64
Suspiria,6.7,64
Suspiria,6.7,64
"Swan Song",7,65
"Sweet Dreams",7,65
Sweetwater,6,66
Sylvia,6.3,56
"Taken 3",6,26
"Taken 3",6,26
"Taking Woodstock",6.7,55
Tangled,7.7,71
TapeWorm,6,66
"Ted K",6,70
"Teenage Mutant Ninja Turtles: Mutant Mayhem",7.2,74
"Terra incognita",6.7,66
"Testament of Youth",7.2,76
Tetris,7.4,61
"Thank You for Your Service",6.6,68
Thanksgiving,6.3,63
Thanksgiving,6.3,63
"The 33",6.9,55
"The Abyss",7.5,62
"The Adventures of Tintin",7.3,68
"The Age of Adaline",7.2,51
"The Age of Stupid",7,66
"The Age of the Earth",6.5,66
"The Alpinist",7.9,67
"The Assassination of Jesse James by the Coward Robert Ford",7.5,68
"The Astronauts' Bodies",7,66
"The Aviator",7.5,77
"The Baader Meinhof Complex",7.3,76
"The Bang Bang Club",6.9,48
"The Banker",7.3,59
"The Basketball Diaries",7.3,46
"The Beach Boys",7.1,63
"The Best of Enemies",7.3,49
"The Big Short",7.8,81
"The Birth of a Nation",6.5,69
"The Black Phone",6.9,65
"The Black Phone",6.9,65
"The Blind Side",7.6,53
"The Boy and the Heron",7.6,91
"The Boys in the Boat",6.9,54
"The Buddy Holly Story",7.2,78
"The Butler",7.2,65
"The Cabin in the Woods",7,72
"The Cabin in the Woods",7,72
"The Case for Christ",6.3,50
"The Catcher Was a Spy",6.3,49
"The Conjuring",7.5,68
"The Conjuring",7.5,68
"The Courier",6,66
"The Cove",8.4,84
"The Crow",7.5,71
"The Curious Case of Benjamin Button",7.8,70
"The Current War",6.5,55
"The Cyclotron",6,66
"The Damned United",7.5,81
"The Danish Girl",7.1,66
"The Dark Horse",7.4,77
"The Devil's Advocate",7.5,60
"The Devil's Double",7,52
"The Devil's Violinist",6,38
"The Devils",7.8,49
"The Dig",7.1,73
"The Disaster Artist",7.3,76
"The Diving Bell and the Butterfly",8,92
"The Doors",7.2,62
"The Dove",6.3,66
"The Duchess",6.9,62
